Mesh #,Combination #,KSP Type,PC Mass,PC Interface,Converged,Krylov Iters,Construction Time (s),Solve Time (s),Total Time (s),Tic Toc Time (s),Solver Label,Adjusted Time (s)
44,5,gmres,asm,ilu,True,61.0,0.003347158432006836,0.006435394287109375,0.009782552719116211,0.16642332077026367,gmres + asm + ilu,0.009782552719116211
44,6,gmres,gamg,ilu,True,32.0,0.006586313247680664,0.00609588623046875,0.012682199478149414,0.1598367691040039,gmres + gamg + ilu,0.012682199478149414
44,7,bcgs,ilu,ilu,True,33.0,0.0026798248291015625,0.0026092529296875,0.0052890777587890625,0.14638066291809082,bcgs + ilu + ilu,0.0052890777587890625
44,8,bcgs,lu,ilu,True,4.0,0.007767677307128906,0.0009710788726806641,0.00873875617980957,0.18033576011657715,bcgs + lu + ilu,0.00873875617980957
44,9,bcgs,sor,ilu,True,65.0,0.0024013519287109375,0.016284704208374023,0.01868605613708496,0.17852568626403809,bcgs + sor + ilu,0.01868605613708496
44,10,bcgs,jacobi,ilu,False,,,,,,bcgs + jacobi + ilu,1.784660816192627
44,11,bcgs,bjacobi,ilu,True,33.0,0.0027904510498046875,0.0028450489044189453,0.005635499954223633,0.1964726448059082,bcgs + bjacobi + ilu,0.005635499954223633
44,12,bcgs,asm,ilu,True,33.0,0.0027952194213867188,0.002947092056274414,0.005742311477661133,0.18300795555114746,bcgs + asm + ilu,0.005742311477661133
44,13,bcgs,gamg,ilu,True,23.0,0.006865978240966797,0.005757570266723633,0.01262354850769043,0.16636252403259277,bcgs + gamg + ilu,0.01262354850769043
44,14,tfqmr,ilu,ilu,True,66.0,0.0028426647186279297,0.002644777297973633,0.0054874420166015625,0.12897276878356934,tfqmr + ilu + ilu,0.0054874420166015625
44,15,tfqmr,lu,ilu,True,7.0,0.008248567581176758,0.001047372817993164,0.009295940399169922,0.19188380241394043,tfqmr + lu + ilu,0.009295940399169922
44,16,tfqmr,sor,ilu,True,126.0,0.002701282501220703,0.005240440368652344,0.007941722869873047,0.1751384735107422,tfqmr + sor + ilu,0.007941722869873047
44,17,tfqmr,jacobi,ilu,False,,,,,,tfqmr + jacobi + ilu,1.784660816192627
44,18,tfqmr,bjacobi,ilu,True,66.0,0.0026094913482666016,0.002943277359008789,0.005552768707275391,0.12997126579284668,tfqmr + bjacobi + ilu,0.005552768707275391
44,19,tfqmr,asm,ilu,True,66.0,0.0030345916748046875,0.0034186840057373047,0.006453275680541992,0.14042234420776367,tfqmr + asm + ilu,0.006453275680541992
44,20,tfqmr,gamg,ilu,True,43.0,0.006841897964477539,0.0055675506591796875,0.012409448623657227,0.1493089199066162,tfqmr + gamg + ilu,0.012409448623657227
45,0,gmres,ilu,ilu,True,48.0,0.0027654170989990234,0.004480838775634766,0.007246255874633789,0.1336503028869629,gmres + ilu + ilu,0.007246255874633789
45,1,gmres,lu,ilu,True,5.0,0.007031440734863281,0.0009260177612304688,0.00795745849609375,0.1333153247833252,gmres + lu + ilu,0.00795745849609375
45,2,gmres,sor,ilu,True,109.0,0.0023734569549560547,0.009455442428588867,0.011828899383544922,0.17192840576171875,gmres + sor + ilu,0.011828899383544922
45,3,gmres,jacobi,ilu,False,,,,,,gmres + jacobi + ilu,1.784660816192627
45,4,gmres,bjacobi,ilu,True,48.0,0.0025894641876220703,0.004470109939575195,0.007059574127197266,0.17913603782653809,gmres + bjacobi + ilu,0.007059574127197266
45,5,gmres,asm,ilu,True,48.0,0.0028276443481445312,0.00440216064453125,0.007229804992675781,0.17146635055541992,gmres + asm + ilu,0.007229804992675781
45,6,gmres,gamg,ilu,True,26.0,0.007691621780395508,0.004765987396240234,0.012457609176635742,0.16965627670288086,gmres + gamg + ilu,0.012457609176635742
45,7,bcgs,ilu,ilu,True,29.0,0.002812623977661133,0.002652406692504883,0.005465030670166016,0.12492203712463379,bcgs + ilu + ilu,0.005465030670166016
45,8,bcgs,lu,ilu,True,3.0,0.006567239761352539,0.0006849765777587891,0.007252216339111328,0.14862394332885742,bcgs + lu + ilu,0.007252216339111328
45,9,bcgs,sor,ilu,True,52.0,0.0024912357330322266,0.004373788833618164,0.006865024566650391,0.13959074020385742,bcgs + sor + ilu,0.006865024566650391
45,10,bcgs,jacobi,ilu,True,111.0,0.002547025680541992,0.005349636077880859,0.007896661758422852,0.1649477481842041,bcgs + jacobi + ilu,0.007896661758422852
45,11,bcgs,bjacobi,ilu,True,29.0,0.002604961395263672,0.002768278121948242,0.005373239517211914,0.19579505920410156,bcgs + bjacobi + ilu,0.005373239517211914
45,12,bcgs,asm,ilu,True,29.0,0.007099628448486328,0.004510164260864258,0.011609792709350586,0.1458587646484375,bcgs + asm + ilu,0.011609792709350586
45,13,bcgs,gamg,ilu,True,17.0,0.006903409957885742,0.017529726028442383,0.024433135986328125,0.18588900566101074,bcgs + gamg + ilu,0.024433135986328125
45,14,tfqmr,ilu,ilu,True,55.0,0.002950429916381836,0.00249481201171875,0.005445241928100586,0.12042880058288574,tfqmr + ilu + ilu,0.005445241928100586
45,15,tfqmr,lu,ilu,True,5.0,0.006709575653076172,0.00079345703125,0.007503032684326172,0.14411044120788574,tfqmr + lu + ilu,0.007503032684326172
45,16,tfqmr,sor,ilu,True,99.0,0.00249481201171875,0.004491090774536133,0.006985902786254883,0.1823735237121582,tfqmr + sor + ilu,0.006985902786254883
45,17,tfqmr,jacobi,ilu,False,,,,,,tfqmr + jacobi + ilu,1.784660816192627
45,18,tfqmr,bjacobi,ilu,True,55.0,0.002638101577758789,0.0026149749755859375,0.0052530765533447266,0.1645982265472412,tfqmr + bjacobi + ilu,0.0052530765533447266
45,19,tfqmr,asm,ilu,True,55.0,0.0029625892639160156,0.003012418746948242,0.005975008010864258,0.15666985511779785,tfqmr + asm + ilu,0.005975008010864258
45,20,tfqmr,gamg,ilu,True,34.0,0.007257223129272461,0.004693031311035156,0.011950254440307617,0.14837336540222168,tfqmr + gamg + ilu,0.011950254440307617
46,0,gmres,ilu,ilu,True,43.0,0.0027604103088378906,0.0036826133728027344,0.006443023681640625,0.1790025234222412,gmres + ilu + ilu,0.006443023681640625
46,1,gmres,lu,ilu,True,6.0,0.010247230529785156,0.001252889633178711,0.011500120162963867,0.17963314056396484,gmres + lu + ilu,0.011500120162963867
46,2,gmres,sor,ilu,True,102.0,0.0024347305297851562,0.008778810501098633,0.011213541030883789,0.18046927452087402,gmres + sor + ilu,0.011213541030883789
46,3,gmres,jacobi,ilu,False,,,,,,gmres + jacobi + ilu,1.784660816192627
46,4,gmres,bjacobi,ilu,True,43.0,0.0029659271240234375,0.006245851516723633,0.00921177864074707,0.16471147537231445,gmres + bjacobi + ilu,0.00921177864074707
46,5,gmres,asm,ilu,True,43.0,0.0028510093688964844,0.004148721694946289,0.0069997310638427734,0.1867687702178955,gmres + asm + ilu,0.0069997310638427734
46,6,gmres,gamg,ilu,True,26.0,0.007143497467041016,0.004457235336303711,0.011600732803344727,0.16382288932800293,gmres + gamg + ilu,0.011600732803344727
46,7,bcgs,ilu,ilu,True,26.0,0.004228830337524414,0.0020542144775390625,0.0062830448150634766,0.19324350357055664,bcgs + ilu + ilu,0.0062830448150634766
